w_grid_size,h_grid_size,s_learn_rate,f_learn_rate,initial_neighbour_size,neigbour_range_decay,random_seed,iterations,distribution_type,metric_type,graph_type,score,
5,5,0.200000,0.000000,10.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.816915,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.645097,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.665974,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.682170,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.541138,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.545072,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.570591,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.535479,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.575292,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.789002,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.558302,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.831472,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.633521,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.647713,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.603289,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.620656,
5,5,0.200000,0.000000,10.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.533251,
5,5,0.200000,0.000000,10.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.527786,
5,5,0.200000,0.000000,10.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.535668,
5,5,0.200000,0.000000,10.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.507472,
5,5,0.200000,0.000000,10.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.484317,
5,5,0.200000,0.000000,15.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.964616,
5,5,0.200000,0.000000,10.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.486668,
5,5,0.200000,0.000000,15.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.859135,
5,5,0.200000,0.000000,15.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.932563,
5,5,0.200000,0.000000,15.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.720084,
5,5,0.200000,0.000000,15.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.726977,
5,5,0.200000,0.000000,15.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.761631,
5,5,0.200000,0.000000,15.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.646680,
5,5,0.200000,0.000000,15.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.586313,
5,5,0.200000,0.000000,15.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.608025,
5,5,0.200000,0.000000,15.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.609802,
5,5,0.200000,0.000000,15.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.610604,
5,5,0.200000,0.000000,15.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.893328,
5,5,0.200000,0.000000,15.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.600654,
5,5,0.200000,0.000000,15.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.805962,
5,5,0.200000,0.000000,15.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.914781,
5,5,0.200000,0.000000,15.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.672507,
5,5,0.200000,0.000000,15.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.680252,
5,5,0.200000,0.000000,15.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.730505,
5,5,0.200000,0.000000,15.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.613264,
5,5,0.200000,0.000000,15.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.609660,
5,5,0.200000,0.000000,15.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.636321,
5,5,0.200000,0.000000,15.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.607155,
5,5,0.200000,0.000000,15.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.603667,
5,5,0.200000,0.000000,15.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.868095,
5,5,0.200000,0.000000,15.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.582299,
5,5,0.200000,0.000000,15.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.769531,
5,5,0.200000,0.000000,15.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.842992,
5,5,0.200000,0.000000,15.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.657882,
5,5,0.200000,0.000000,15.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.663972,
5,5,0.200000,0.000000,15.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.671022,
5,5,0.200000,0.000000,15.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.589008,
5,5,0.200000,0.000000,15.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.563231,
5,5,0.200000,0.000000,15.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.609065,
5,5,0.200000,0.000000,15.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.521734,
5,5,0.200000,0.000000,15.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.547429,
5,5,0.200000,0.000000,20.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.931364,
5,5,0.200000,0.000000,15.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.559135,
5,5,0.200000,0.000000,20.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.953694,
5,5,0.200000,0.000000,20.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.964503,
5,5,0.200000,0.000000,20.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.744581,
5,5,0.200000,0.000000,20.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.776044,
5,5,0.200000,0.000000,20.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.791357,
5,5,0.200000,0.000000,20.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.647104,
5,5,0.200000,0.000000,20.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.688255,
5,5,0.200000,0.000000,20.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.672680,
5,5,0.200000,0.000000,20.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.639204,
5,5,0.200000,0.000000,20.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.640272,
5,5,0.200000,0.000000,20.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,1.019221,
5,5,0.200000,0.000000,20.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.972628,
5,5,0.200000,0.000000,20.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.608822,
5,5,0.200000,0.000000,20.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.937013,
5,5,0.200000,0.000000,20.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.734947,
5,5,0.200000,0.000000,20.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.701193,
5,5,0.200000,0.000000,20.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.752513,
5,5,0.200000,0.000000,20.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.651790,
5,5,0.200000,0.000000,20.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.673036,
5,5,0.200000,0.000000,20.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.643852,
5,5,0.200000,0.000000,20.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.632313,
5,5,0.200000,0.000000,20.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.611991,
5,5,0.200000,0.000000,20.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.846308,
5,5,0.200000,0.000000,20.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.612319,
5,5,0.200000,0.000000,20.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.966839,
5,5,0.200000,0.000000,20.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.853916,
5,5,0.200000,0.000000,20.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.703818,
5,5,0.200000,0.000000,20.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.707946,
5,5,0.200000,0.000000,20.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.703538,
5,5,0.200000,0.000000,20.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.637535,
5,5,0.200000,0.000000,20.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.611989,
5,5,0.200000,0.000000,20.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.644906,
