0,0,-187.58,375.16,0,0,187.58,-187.58,-187.58,-187.58,0,-187.58,0,0,0,-187.58,-187.58,0,-375.16,-187.58,-187.58,-187.58,0,187.58,0,-375.16,0,0,0,-187.58,0,0,-187.58,-187.58,0,375.16,-187.58,0,375.16,0,0,-187.58,-187.58,187.58,-187.58,-375.16,-750.32,0,-187.58,0,0,187.58,-187.58,-187.58,0,-187.58,-187.58,0,-187.58,0,0,-187.58,0
0,0,-187.58,-187.58,-187.58,-375.16,-187.58,0,-375.16,0,-187.58,-375.16,0,-187.58,-187.58,-187.58,0,0,-375.16,-187.58,-187.58,187.58,0,187.58,-187.58,0,0,-187.58,-187.58,0,-187.58,-187.58,0,-187.58,187.58,0,-187.58,187.58,0,-187.58,-375.16,0,0,-187.58,-562.74,-375.16,0,-375.16,0,375.16,0,0,187.58,-375.16,-375.16,0,-187.58,-562.74,-375.16,-375.16,0,-187.58,0
0,-187.58,-187.58,-375.16,-187.58,-375.16,0,-187.58,187.58,375.16,187.58,0,-375.16,0,-375.16,187.58,0,0,0,-187.58,0,187.58,-187.58,-187.58,-375.16,-187.58,-187.58,0,-187.58,0,0,-187.58,0,-187.58,0,0,-187.58,0,0,-375.16,-187.58,0,0,-375.16,-375.16,0,375.16,-187.58,187.58,-375.16,-187.58,-187.58,0,-187.58,0,0,0,-187.58,187.58,0,-375.16,0,-187.58
-187.58,-187.58,0,-187.58,0,0,0,0,187.58,375.16,-187.58,0,-375.16,0,-187.58,0,-187.58,-187.58,187.58,0,0,-187.58,-187.58,-562.74,-375.16,0,0,0,-187.58,187.58,0,-187.58,187.58,-187.58,0,-562.74,-187.58,0,-562.74,-187.58,0,0,0,-187.58,375.16,375.16,0,0,-375.16,-375.16,0,187.58,-187.58,0,0,-187.58,187.58,0,0,0,-375.16,0,-187.58
-187.58,-187.58,0,187.58,-375.16,187.58,-375.16,187.58,0,-375.16,-375.16,-187.58,375.16,0,187.58,-187.58,-187.58,-187.58,-187.58,0,-187.58,-562.74,0,-187.58,0,-187.58,187.58,-187.58,0,0,-187.58,0,0,0,-187.58,0,0,-187.58,0,0,187.58,-187.58,-187.58,187.58,0,0,-375.16,0,-375.16,-187.58,0,187.58,-187.58,187.58,-375.16,0,0,187.58,-187.58,0,0,0,-187.58
0,0,187.58,0,-187.58,-187.58,-375.16,-375.16,0,-187.58,0,0,562.74,0,187.58,0,-187.58,-187.58,-562.74,-187.58,-375.16,-187.58,187.58,562.74,187.58,-187.58,187.58,0,-187.58,-187.58,0,-187.58,-187.58,187.58,-187.58,-187.58,187.58,-187.58,-187.58,0,-187.58,0,0,-187.58,-375.16,-187.58,-375.16,-187.58,-187.58,0,0,-187.58,0,-187.58,-562.74,0,0,0,-375.16,-187.58,0,-187.58,0
0,0,187.58,-375.16,-187.58,-375.16,-187.58,0,0,0,-187.58,187.58,0,187.58,-375.16,187.58,0,0,-375.16,-187.58,0,375.16,-187.58,-187.58,0,-187.58,0,-187.58,-187.58,0,-187.58,-187.58,0,0,-375.16,0,0,-375.16,0,-187.58,-375.16,0,0,-187.58,-187.58,-187.58,0,-187.58,0,0,0,-562.74,-187.58,-375.16,0,-187.58,187.58,-375.16,0,-187.58,0,0,0
-187.58,0,187.58,-187.58,187.58,0,0,-375.16,0,0,-187.58,187.58,-375.16,-375.16,-187.58,-187.58,-187.58,-187.58,375.16,0,375.16,-375.16,0,-1125.5,-375.16,187.58,-187.58,-187.58,0,187.58,-187.58,0,187.58,-187.58,0,-187.58,-187.58,0,-187.58,-187.58,-187.58,0,0,-187.58,0,0,187.58,-187.58,-187.58,-187.58,-187.58,-562.74,-187.58,-375.16,187.58,-187.58,187.58,-187.58,-187.58,-187.58,0,-187.58,-187.58
-375.16,-187.58,0,0,0,0,-187.58,-187.58,-375.16,-187.58,0,187.58,-187.58,0,187.58,-375.16,-187.58,-375.16,562.74,-187.58,0,-562.74,0,-750.32,-562.74,0,-375.16,0,187.58,0,0,187.58,0,0,187.58,187.58,0,187.58,187.58,0,0,-187.58,-187.58,0,-187.58,0,-187.58,0,-187.58,0,-187.58,-375.16,-187.58,-375.16,-187.58,0,-187.58,-187.58,-187.58,0,187.58,-187.58,-187.58
-375.16,-187.58,-187.58,0,-187.58,0,-375.16,-187.58,-562.74,-187.58,-187.58,0,0,-187.58,187.58,-375.16,-187.58,0,-187.58,-187.58,-375.16,-375.16,0,187.58,-187.58,-375.16,0,-187.58,187.58,-375.16,-187.58,187.58,-375.16,0,-187.58,0,0,-187.58,0,0,0,0,0,-187.58,-375.16,-187.58,-187.58,0,187.58,187.58,-187.58,187.58,0,187.58,-562.74,0,-562.74,-187.58,0,-187.58,-187.58,-187.58,-187.58
0,-187.58,0,0,0,-187.58,187.58,-187.58,-187.58,-187.58,-187.58,0,-375.16,0,-187.58,187.58,0,375.16,-562.74,0,-375.16,187.58,0,750.32,375.16,-187.58,375.16,0,-187.58,-187.58,0,-187.58,-187.58,-187.58,-187.58,0,-187.58,-187.58,0,0,0,0,0,0,0,0,187.58,-187.58,187.58,-187.58,0,375.16,0,187.58,-187.58,0,-375.16,-375.16,0,-187.58,-187.58,0,-187.58
187.58,0,-375.16,-375.16,0,-187.58,562.74,0,0,-187.58,-187.58,0,-375.16,-187.58,-375.16,562.74,-187.58,375.16,-187.58,0,0,187.58,-187.58,375.16,375.16,0,187.58,0,0,0,0,0,0,0,187.58,-375.16,0,187.58,-375.16,0,-187.58,0,0,187.58,0,187.58,0,-187.58,0,-750.32,-187.58,-187.58,-187.58,-187.58,375.16,0,187.58,-187.58,-187.58,0,-187.58,0,-187.58
0,0,-375.16,-187.58,0,-187.58,187.58,-375.16,-187.58,-187.58,-187.58,-187.58,0,375.16,0,562.74,-187.58,375.16,0,-187.58,0,0,0,-375.16,-187.58,-187.58,-375.16,0,0,0,0,0,0,187.58,187.58,0,187.58,187.58,0,-187.58,-375.16,0,0,0,-375.16,0,0,-187.58,-562.74,-562.74,0,-562.74,-187.58,-562.74,562.74,0,187.58,187.58,-187.58,187.58,187.58,0,0
